Group,ID,Week,Eggs,Schisto.Inf,Schisto.fact,Meta.inf,Meta.fact,Total.inf,Total.fact,Metas
S,S8,9,NA,0,ap,NA,ap,NA,ap,NA
S,S9,9,NA,1,p,NA,ap,NA,ones,NA
S,S10,9,7,0,ap,NA,ap,NA,ap,NA
S,S11,9,0,1,p,NA,ap,NA,ones,NA
S,S12,9,0,1,p,NA,ap,NA,ones,NA
S,S13,9,NA,0,ap,NA,ap,NA,ap,NA
S,S14,9,3,0,ap,NA,ap,NA,ap,NA
S,S15,9,0,1,p,NA,ap,NA,ones,NA
S,S16,9,0,1,p,NA,ap,NA,ones,NA
S,S17,9,1,0,ap,NA,ap,NA,ap,NA
S,S18,9,0,1,p,NA,ap,NA,ones,NA
S,S19,9,11,0,ap,NA,ap,NA,ap,NA
S,S20,9,0,0,ap,NA,ap,NA,ap,NA
S,S21,9,NA,1,p,NA,ap,NA,ones,NA
S,S22,9,NA,1,p,NA,ap,NA,ones,NA
S,S23,9,NA,1,p,NA,ap,NA,ones,NA
S,S24,9,0,1,p,NA,ap,NA,ones,NA
S,S25,9,NA,0,ap,NA,ap,NA,ap,NA
S,S26,9,NA,1,p,NA,ap,NA,ones,NA
S,S27,9,0,1,p,NA,ap,NA,ones,NA
S,S28,9,0,1,p,NA,ap,NA,ones,NA
S,S29,9,NA,0,ap,NA,ap,NA,ap,NA
S,S30,9,NA,0,ap,NA,ap,NA,ap,NA
S,S31,9,0,1,p,NA,ap,NA,ones,NA
S,S32,9,0,0,ap,NA,ap,NA,ap,NA
S,S33,9,6,0,ap,NA,ap,NA,ap,NA
S,S34,9,0,1,p,NA,ap,NA,ones,NA
S,S35,9,8,0,ap,NA,ap,NA,ap,NA
S,S36,9,9,0,ap,NA,ap,NA,ap,NA
S,S37,9,NA,0,ap,NA,ap,NA,ap,NA
S,S38,9,NA,1,p,NA,ap,NA,ones,NA
S,S39,9,NA,0,ap,NA,ap,NA,ap,NA
S,S40,9,7,0,ap,NA,ap,NA,ap,NA
S,S1,10,0,0,ap,NA,ap,NA,ap,NA
S,S2,10,NA,1,p,NA,ap,NA,ones,NA
S,S3,10,NA,0,ap,NA,ap,NA,ap,NA
S,S4,10,0,0,ap,NA,ap,NA,ap,NA
S,S5,10,NA,0,ap,NA,ap,NA,ap,NA
S,S6,10,NA,0,ap,NA,ap,NA,ap,NA
S,S7,10,NA,1,p,NA,ap,NA,ones,NA
S,S8,10,NA,0,ap,NA,ap,NA,ap,NA
S,S9,10,NA,1,p,NA,ap,NA,ones,NA
S,S10,10,2,0,ap,NA,ap,NA,ap,NA
S,S11,10,0,1,p,NA,ap,NA,ones,NA
S,S12,10,0,1,p,NA,ap,NA,ones,NA
S,S13,10,NA,0,ap,NA,ap,NA,ap,NA
S,S14,10,0,0,ap,NA,ap,NA,ap,NA
S,S15,10,0,1,p,NA,ap,NA,ones,NA
S,S16,10,NA,1,p,NA,ap,NA,ones,NA
S,S17,10,3,0,ap,NA,ap,NA,ap,NA
S,S18,10,0,1,p,NA,ap,NA,ones,NA
S,S19,10,6,0,ap,NA,ap,NA,ap,NA
S,S20,10,0,0,ap,NA,ap,NA,ap,NA
S,S21,10,NA,1,p,NA,ap,NA,ones,NA
S,S22,10,NA,1,p,NA,ap,NA,ones,NA
S,S23,10,NA,1,p,NA,ap,NA,ones,NA
S,S24,10,0,1,p,NA,ap,NA,ones,NA
S,S25,10,NA,0,ap,NA,ap,NA,ap,NA
S,S26,10,NA,1,p,NA,ap,NA,ones,NA
S,S27,10,0,1,p,NA,ap,NA,ones,NA
S,S28,10,0,1,p,NA,ap,NA,ones,NA
S,S29,10,NA,0,ap,NA,ap,NA,ap,NA
S,S30,10,NA,0,ap,NA,ap,NA,ap,NA
S,S31,10,0,1,p,NA,ap,NA,ones,NA
S,S32,10,NA,0,ap,NA,ap,NA,ap,NA
S,S33,10,5,0,ap,NA,ap,NA,ap,NA
S,S34,10,0,1,p,NA,ap,NA,ones,NA
S,S35,10,3,0,ap,NA,ap,NA,ap,NA
S,S36,10,3,0,ap,NA,ap,NA,ap,NA
S,S37,10,NA,0,ap,NA,ap,NA,ap,NA
S,S38,10,NA,1,p,NA,ap,NA,ones,NA
S,S39,10,NA,0,ap,NA,ap,NA,ap,NA
S,S40,10,2,0,ap,NA,ap,NA,ap,NA
T1,T1.1,1,3,1,p,1,p,2,p,1
T1,T1.2,1,1,0,ap,1,p,1,onem,6
T1,T1.3,1,4,0,ap,1,p,1,onem,3
T1,T1.4,1,4,0,ap,1,p,1,onem,2
T1,T1.5,1,2,0,ap,1,p,1,onem,4
T1,T1.6,1,6,0,ap,1,p,1,onem,2
T1,T1.7,1,7,0,ap,1,p,1,onem,3
T1,T1.8,1,7,1,p,1,p,2,p,2
T1,T1.9,1,5,1,p,1,p,2,p,1
T1,T1.10,1,6,0,ap,1,p,1,onem,2
T1,T1.11,1,2,0,ap,1,p,1,onem,4
T1,T1.12,1,4,0,ap,1,p,1,onem,1
T1,T1.13,1,3,1,p,0,ap,1,ones,0
T1,T1.14,1,5,0,ap,1,p,1,onem,3
T1,T1.15,1,3,0,ap,1,p,1,onem,2
T1,T1.16,1,4,0,ap,1,p,1,onem,1
T1,T1.17,1,0,0,ap,1,p,1,onem,5
T1,T1.18,1,3,0,ap,0,ap,0,ap,0
T1,T1.19,1,6,1,p,0,ap,1,ones,0
T1,T1.20,1,7,0,ap,0,ap,0,ap,0
T1,T1.21,1,5,0,ap,0,ap,0,ap,0
T1,T1.22,1,9,1,p,1,p,2,p,1
T1,T1.23,1,6,0,ap,0,ap,0,ap,0
T1,T1.24,1,6,0,ap,1,p,1,onem,3
T1,T1.25,1,4,1,p,1,p,2,p,6
T1,T1.26,1,2,0,ap,1,p,1,onem,5
T1,T1.27,1,8,0,ap,0,ap,0,ap,0
T1,T1.28,1,4,1,p,1,p,2,p,4
T1,T1.29,1,5,0,ap,0,ap,0,ap,0
T1,T1.30,1,10,0,ap,0,ap,0,ap,0
T1,T1.32,1,1,1,p,1,p,2,p,2
T1,T1.33,1,2,0,ap,1,p,1,onem,3
T1,T1.34,1,6,0,ap,1,p,1,onem,2
T1,T1.35,1,4,0,ap,0,ap,0,ap,0
T1,T1.36,1,5,1,p,1,p,2,p,2
T1,T1.37,1,4,1,p,1,p,2,p,1
T1,T1.38,1,6,0,ap,0,ap,0,ap,0
T1,T1.39,1,5,0,ap,1,p,1,onem,1
T1,T1.40,1,0,0,ap,1,p,1,onem,3
T1,T1.1,2,2,1,p,1,p,2,p,1
T1,T1.2,2,NA,0,ap,1,p,1,onem,6
T1,T1.3,2,3,0,ap,1,p,1,onem,3
T1,T1.4,2,4,0,ap,1,p,1,onem,2
T1,T1.5,2,1,0,ap,1,p,1,onem,4
T1,T1.6,2,5,0,ap,1,p,1,onem,2
T1,T1.7,2,10,0,ap,1,p,1,onem,3
T1,T1.8,2,3,1,p,1,p,2,p,2
T1,T1.9,2,4,1,p,1,p,2,p,1
T1,T1.10,2,6,0,ap,1,p,1,onem,2
T1,T1.11,2,NA,0,ap,1,p,1,onem,4
T1,T1.12,2,2,0,ap,1,p,1,onem,1
T1,T1.13,2,3,1,p,0,ap,1,ones,0
T1,T1.14,2,5,0,ap,1,p,1,onem,3
T1,T1.15,2,2,0,ap,1,p,1,onem,2
T1,T1.16,2,3,0,ap,1,p,1,onem,1
T1,T1.17,2,NA,0,ap,1,p,1,onem,5
T1,T1.18,2,5,0,ap,0,ap,0,ap,0
T1,T1.19,2,5,1,p,0,ap,1,ones,0
T1,T1.20,2,5,0,ap,0,ap,0,ap,0
T1,T1.21,2,7,0,ap,0,ap,0,ap,0
T1,T1.22,2,7,1,p,1,p,2,p,1
T1,T1.23,2,5,0,ap,0,ap,0,ap,0
T1,T1.24,2,3,0,ap,1,p,1,onem,3
T1,T1.25,2,5,1,p,1,p,2,p,6
T1,T1.26,2,2,0,ap,1,p,1,onem,5
T1,T1.27,2,4,0,ap,0,ap,0,ap,0
T1,T1.28,2,0,1,p,1,p,2,p,4
T1,T1.29,2,8,0,ap,0,ap,0,ap,0
T1,T1.30,2,5,0,ap,0,ap,0,ap,0
T1,T1.32,2,4,1,p,1,p,2,p,2
T1,T1.33,2,2,0,ap,1,p,1,onem,3
T1,T1.34,2,4,0,ap,1,p,1,onem,2
T1,T1.35,2,4,0,ap,0,ap,0,ap,0
T1,T1.36,2,7,1,p,1,p,2,p,2
T1,T1.37,2,6,1,p,1,p,2,p,1
T1,T1.38,2,6,0,ap,0,ap,0,ap,0
T1,T1.39,2,5,0,ap,1,p,1,onem,1
T1,T1.40,2,4,0,ap,1,p,1,onem,3
T1,T1.1,3,5,1,p,1,p,2,p,1
T1,T1.2,3,NA,0,ap,1,p,1,onem,6
T1,T1.3,3,5,0,ap,1,p,1,onem,3
T1,T1.4,3,8,0,ap,1,p,1,onem,2
T1,T1.5,3,NA,0,ap,1,p,1,onem,4
T1,T1.6,3,7,0,ap,1,p,1,onem,2
T1,T1.7,3,9,0,ap,1,p,1,onem,3
T1,T1.8,3,3,1,p,1,p,2,p,2
T1,T1.9,3,4,1,p,1,p,2,p,1
T1,T1.10,3,5,0,ap,1,p,1,onem,2
T1,T1.11,3,NA,0,ap,1,p,1,onem,4
T1,T1.12,3,5,0,ap,1,p,1,onem,1
T1,T1.13,3,5,1,p,0,ap,1,ones,0
T1,T1.14,3,7,0,ap,1,p,1,onem,3
T1,T1.15,3,4,0,ap,1,p,1,onem,2
T1,T1.16,3,5,0,ap,1,p,1,onem,1
T1,T1.17,3,NA,0,ap,1,p,1,onem,5
T1,T1.18,3,1,0,ap,0,ap,0,ap,0
T1,T1.19,3,3,1,p,0,ap,1,ones,0
T1,T1.20,3,11,0,ap,0,ap,0,ap,0
T1,T1.21,3,9,0,ap,0,ap,0,ap,0
T1,T1.22,3,7,1,p,1,p,2,p,1
T1,T1.23,3,6,0,ap,0,ap,0,ap,0
T1,T1.24,3,4,0,ap,1,p,1,onem,3
T1,T1.25,3,6,1,p,1,p,2,p,6
T1,T1.26,3,NA,0,ap,1,p,1,onem,5
T1,T1.27,3,5,0,ap,0,ap,0,ap,0
T1,T1.28,3,3,1,p,1,p,2,p,4
T1,T1.29,3,7,0,ap,0,ap,0,ap,0
T1,T1.30,3,7,0,ap,0,ap,0,ap,0
T1,T1.32,3,5,1,p,1,p,2,p,2
T1,T1.33,3,NA,0,ap,1,p,1,onem,3
T1,T1.34,3,5,0,ap,1,p,1,onem,2
T1,T1.35,3,3,0,ap,0,ap,0,ap,0
T1,T1.36,3,6,1,p,1,p,2,p,2
T1,T1.37,3,7,1,p,1,p,2,p,1
T1,T1.38,3,3,0,ap,0,ap,0,ap,0
T1,T1.39,3,5,0,ap,1,p,1,onem,1
T1,T1.40,3,3,0,ap,1,p,1,onem,3
T1,T1.1,4,2,1,p,1,p,2,p,1
T1,T1.2,4,NA,0,ap,1,p,1,onem,6
T1,T1.3,4,4,0,ap,1,p,1,onem,3
T1,T1.4,4,7,0,ap,1,p,1,onem,2
T1,T1.5,4,NA,0,ap,1,p,1,onem,4
T1,T1.6,4,9,0,ap,1,p,1,onem,2
T1,T1.7,4,11,0,ap,1,p,1,onem,3
T1,T1.8,4,0,1,p,1,p,2,p,2
T1,T1.9,4,5,1,p,1,p,2,p,1
T1,T1.10,4,5,0,ap,1,p,1,onem,2
T1,T1.11,4,NA,0,ap,1,p,1,onem,4
T1,T1.12,4,7,0,ap,1,p,1,onem,1
T1,T1.13,4,5,1,p,0,ap,1,ones,0
T1,T1.14,4,8,0,ap,1,p,1,onem,3
T1,T1.15,4,4,0,ap,1,p,1,onem,2
T1,T1.16,4,5,0,ap,1,p,1,onem,1
T1,T1.17,4,NA,0,ap,1,p,1,onem,5
T1,T1.18,4,6,0,ap,0,ap,0,ap,0
T1,T1.19,4,0,1,p,0,ap,1,ones,0
T1,T1.20,4,9,0,ap,0,ap,0,ap,0
T1,T1.21,4,9,0,ap,0,ap,0,ap,0
T1,T1.22,4,5,1,p,1,p,2,p,1
T1,T1.23,4,7,0,ap,0,ap,0,ap,0
T1,T1.24,4,4,0,ap,1,p,1,onem,3
T1,T1.25,4,1,1,p,1,p,2,p,6
T1,T1.26,4,NA,0,ap,1,p,1,onem,5
T1,T1.27,4,5,0,ap,0,ap,0,ap,0
T1,T1.28,4,2,1,p,1,p,2,p,4
T1,T1.29,4,7,0,ap,0,ap,0,ap,0
T1,T1.30,4,6,0,ap,0,ap,0,ap,0
T1,T1.32,4,9,1,p,1,p,2,p,2
T1,T1.33,4,NA,0,ap,1,p,1,onem,3
T1,T1.34,4,7,0,ap,1,p,1,onem,2
T1,T1.35,4,6,0,ap,0,ap,0,ap,0
T1,T1.36,4,5,1,p,1,p,2,p,2
T1,T1.37,4,5,1,p,1,p,2,p,1
T1,T1.38,4,6,0,ap,0,ap,0,ap,0
T1,T1.39,4,7,0,ap,1,p,1,onem,1
T1,T1.40,4,4,0,ap,1,p,1,onem,3
T1,T1.1,5,3,1,p,1,p,2,p,1
T1,T1.2,5,NA,0,ap,1,p,1,onem,6
T1,T1.3,5,5,0,ap,1,p,1,onem,3
T1,T1.4,5,8,0,ap,1,p,1,onem,2
T1,T1.5,5,NA,0,ap,1,p,1,onem,4
T1,T1.6,5,2,0,ap,1,p,1,onem,2
T1,T1.7,5,13,0,ap,1,p,1,onem,3
T1,T1.8,5,2,1,p,1,p,2,p,2
T1,T1.9,5,0,1,p,1,p,2,p,1
T1,T1.10,5,4,0,ap,1,p,1,onem,2
T1,T1.11,5,NA,0,ap,1,p,1,onem,4
T1,T1.12,5,7,0,ap,1,p,1,onem,1
T1,T1.13,5,0,1,p,0,ap,1,ones,0
T1,T1.14,5,7,0,ap,1,p,1,onem,3
T1,T1.15,5,8,0,ap,1,p,1,onem,2
T1,T1.16,5,8,0,ap,1,p,1,onem,1
T1,T1.17,5,NA,0,ap,1,p,1,onem,5
T1,T1.18,5,6,0,ap,0,ap,0,ap,0
T1,T1.19,5,0,1,p,0,ap,1,ones,0
T1,T1.20,5,11,0,ap,0,ap,0,ap,0
T1,T1.21,5,8,0,ap,0,ap,0,ap,0
T1,T1.22,5,1,1,p,1,p,2,p,1
T1,T1.23,5,8,0,ap,0,ap,0,ap,0
T1,T1.24,5,6,0,ap,1,p,1,onem,3
T1,T1.25,5,0,1,p,1,p,2,p,6
T1,T1.26,5,NA,0,ap,1,p,1,onem,5
T1,T1.27,5,1,0,ap,0,ap,0,ap,0
T1,T1.28,5,0,1,p,1,p,2,p,4
T1,T1.29,5,6,0,ap,0,ap,0,ap,0
T1,T1.30,5,8,0,ap,0,ap,0,ap,0
T1,T1.32,5,4,1,p,1,p,2,p,2
T1,T1.33,5,NA,0,ap,1,p,1,onem,3
T1,T1.34,5,9,0,ap,1,p,1,onem,2
T1,T1.35,5,10,0,ap,0,ap,0,ap,0
T1,T1.36,5,2,1,p,1,p,2,p,2
T1,T1.37,5,0,1,p,1,p,2,p,1
T1,T1.38,5,6,0,ap,0,ap,0,ap,0
T1,T1.39,5,9,0,ap,1,p,1,onem,1
T1,T1.40,5,7,0,ap,1,p,1,onem,3
T1,T1.1,6,1,1,p,1,p,2,p,1
T1,T1.2,6,NA,0,ap,1,p,1,onem,6
T1,T1.3,6,5,0,ap,1,p,1,onem,3
T1,T1.4,6,7,0,ap,1,p,1,onem,2
T1,T1.5,6,NA,0,ap,1,p,1,onem,4
T1,T1.6,6,4,0,ap,1,p,1,onem,2
T1,T1.7,6,14,0,ap,1,p,1,onem,3
T1,T1.8,6,0,1,p,1,p,2,p,2
T1,T1.9,6,0,1,p,1,p,2,p,1
T1,T1.10,6,0,0,ap,1,p,1,onem,2
T1,T1.11,6,NA,0,ap,1,p,1,onem,4
T1,T1.12,6,6,0,ap,1,p,1,onem,1
T1,T1.13,6,1,1,p,0,ap,1,ones,0
T1,T1.14,6,10,0,ap,1,p,1,onem,3
T1,T1.15,6,3,0,ap,1,p,1,onem,2
T1,T1.16,6,6,0,ap,1,p,1,onem,1
T1,T1.17,6,NA,0,ap,1,p,1,onem,5
T1,T1.18,6,8,0,ap,0,ap,0,ap,0
T1,T1.19,6,0,1,p,0,ap,1,ones,0
T1,T1.20,6,9,0,ap,0,ap,0,ap,0
T1,T1.21,6,5,0,ap,0,ap,0,ap,0
T1,T1.22,6,0,1,p,1,p,2,p,1
T1,T1.23,6,9,0,ap,0,ap,0,ap,0
T1,T1.24,6,7,0,ap,1,p,1,onem,3
T1,T1.25,6,0,1,p,1,p,2,p,6
T1,T1.26,6,NA,0,ap,1,p,1,onem,5
T1,T1.27,6,0,0,ap,0,ap,0,ap,0
T1,T1.28,6,0,1,p,1,p,2,p,4
T1,T1.29,6,2,0,ap,0,ap,0,ap,0
T1,T1.30,6,9,0,ap,0,ap,0,ap,0
T1,T1.32,6,0,1,p,1,p,2,p,2
T1,T1.33,6,NA,0,ap,1,p,1,onem,3
T1,T1.34,6,5,0,ap,1,p,1,onem,2
T1,T1.35,6,7,0,ap,0,ap,0,ap,0
T1,T1.36,6,0,1,p,1,p,2,p,2
T1,T1.37,6,0,1,p,1,p,2,p,1
T1,T1.38,6,0,0,ap,0,ap,0,ap,0
T1,T1.39,6,9,0,ap,1,p,1,onem,1
T1,T1.40,6,NA,0,ap,1,p,1,onem,3
T1,T1.1,7,0,1,p,1,p,2,p,1
T1,T1.2,7,NA,0,ap,1,p,1,onem,6
T1,T1.3,7,6,0,ap,1,p,1,onem,3
T1,T1.4,7,8,0,ap,1,p,1,onem,2
T1,T1.5,7,NA,0,ap,1,p,1,onem,4
T1,T1.6,7,3,0,ap,1,p,1,onem,2
T1,T1.7,7,14,0,ap,1,p,1,onem,3
T1,T1.8,7,0,1,p,1,p,2,p,2
T1,T1.9,7,0,1,p,1,p,2,p,1
T1,T1.10,7,0,0,ap,1,p,1,onem,2
T1,T1.11,7,NA,0,ap,1,p,1,onem,4
T1,T1.12,7,4,0,ap,1,p,1,onem,1
T1,T1.13,7,0,1,p,0,ap,1,ones,0
T1,T1.14,7,1,0,ap,1,p,1,onem,3
T1,T1.15,7,3,0,ap,1,p,1,onem,2
T1,T1.16,7,4,0,ap,1,p,1,onem,1
T1,T1.17,7,NA,0,ap,1,p,1,onem,5
T1,T1.18,7,5,0,ap,0,ap,0,ap,0
T1,T1.19,7,0,1,p,0,ap,1,ones,0
T1,T1.20,7,2,0,ap,0,ap,0,ap,0
T1,T1.21,7,1,0,ap,0,ap,0,ap,0
T1,T1.22,7,3,1,p,1,p,2,p,1
T1,T1.23,7,4,0,ap,0,ap,0,ap,0
T1,T1.24,7,8,0,ap,1,p,1,onem,3
T1,T1.25,7,NA,1,p,1,p,2,p,6
T1,T1.26,7,NA,0,ap,1,p,1,onem,5
T1,T1.27,7,2,0,ap,0,ap,0,ap,0
T1,T1.28,7,0,1,p,1,p,2,p,4
T1,T1.29,7,14,0,ap,0,ap,0,ap,0
T1,T1.30,7,7,0,ap,0,ap,0,ap,0
T1,T1.32,7,0,1,p,1,p,2,p,2
T1,T1.33,7,NA,0,ap,1,p,1,onem,3
T1,T1.34,7,2,0,ap,1,p,1,onem,2
T1,T1.35,7,4,0,ap,0,ap,0,ap,0
T1,T1.36,7,0,1,p,1,p,2,p,2
T1,T1.37,7,0,1,p,1,p,2,p,1
T1,T1.38,7,0,0,ap,0,ap,0,ap,0
T1,T1.39,7,1,0,ap,1,p,1,onem,1
T1,T1.40,7,0,0,ap,1,p,1,onem,3
T1,T1.1,8,0,1,p,1,p,2,p,1
T1,T1.2,8,NA,0,ap,1,p,1,onem,6
T1,T1.3,8,8,0,ap,1,p,1,onem,3
T1,T1.4,8,7,0,ap,1,p,1,onem,2
T1,T1.5,8,NA,0,ap,1,p,1,onem,4
T1,T1.6,8,2,0,ap,1,p,1,onem,2
T1,T1.7,8,12,0,ap,1,p,1,onem,3
T1,T1.8,8,0,1,p,1,p,2,p,2
T1,T1.9,8,0,1,p,1,p,2,p,1
T1,T1.10,8,0,0,ap,1,p,1,onem,2
T1,T1.11,8,NA,0,ap,1,p,1,onem,4
T1,T1.12,8,5,0,ap,1,p,1,onem,1
T1,T1.13,8,0,1,p,0,ap,1,ones,0
T1,T1.14,8,1,0,ap,1,p,1,onem,3
T1,T1.15,8,0,0,ap,1,p,1,onem,2
T1,T1.16,8,5,0,ap,1,p,1,onem,1
T1,T1.17,8,NA,0,ap,1,p,1,onem,5
T1,T1.18,8,3,0,ap,0,ap,0,ap,0
T1,T1.19,8,0,1,p,0,ap,1,ones,0
T1,T1.20,8,2,0,ap,0,ap,0,ap,0
T1,T1.21,8,1,0,ap,0,ap,0,ap,0
T1,T1.22,8,0,1,p,1,p,2,p,1
T1,T1.23,8,1,0,ap,0,ap,0,ap,0
T1,T1.24,8,4,0,ap,1,p,1,onem,3
T1,T1.25,8,NA,1,p,1,p,2,p,6
T1,T1.26,8,NA,0,ap,1,p,1,onem,5
T1,T1.27,8,4,0,ap,0,ap,0,ap,0
T1,T1.28,8,0,1,p,1,p,2,p,4
T1,T1.29,8,13,0,ap,0,ap,0,ap,0
T1,T1.30,8,8,0,ap,0,ap,0,ap,0
T1,T1.32,8,0,1,p,1,p,2,p,2
T1,T1.33,8,NA,0,ap,1,p,1,onem,3
T1,T1.34,8,NA,0,ap,1,p,1,onem,2
T1,T1.35,8,11,0,ap,0,ap,0,ap,0
T1,T1.36,8,NA,1,p,1,p,2,p,2
T1,T1.37,8,0,1,p,1,p,2,p,1
T1,T1.38,8,0,0,ap,0,ap,0,ap,0
T1,T1.39,8,5,0,ap,1,p,1,onem,1
T1,T1.40,8,0,0,ap,1,p,1,onem,3
T1,T1.1,9,0,1,p,1,p,2,p,1
T1,T1.2,9,NA,0,ap,1,p,1,onem,6
T1,T1.3,9,8,0,ap,1,p,1,onem,3
T1,T1.4,9,10,0,ap,1,p,1,onem,2
T1,T1.5,9,NA,0,ap,1,p,1,onem,4
T1,T1.6,9,3,0,ap,1,p,1,onem,2
T1,T1.7,9,13,0,ap,1,p,1,onem,3
T1,T1.8,9,0,1,p,1,p,2,p,2
T1,T1.9,9,0,1,p,1,p,2,p,1
T1,T1.10,9,0,0,ap,1,p,1,onem,2
T1,T1.11,9,NA,0,ap,1,p,1,onem,4
T1,T1.12,9,4,0,ap,1,p,1,onem,1
T1,T1.13,9,NA,1,p,0,ap,1,ones,0
T1,T1.14,9,1,0,ap,1,p,1,onem,3
T1,T1.15,9,0,0,ap,1,p,1,onem,2
T1,T1.16,9,2,0,ap,1,p,1,onem,1
T1,T1.17,9,NA,0,ap,1,p,1,onem,5
T1,T1.18,9,0,0,ap,0,ap,0,ap,0
T1,T1.19,9,0,1,p,0,ap,1,ones,0
T1,T1.20,9,0,0,ap,0,ap,0,ap,0
